State,Year,Quarter,Brands,Count,Percentage
Andaman & Nicobar,2018,Q4 (Oct - Dec),Xiaomi,3719,0.24431743529102615
Andaman & Nicobar,2018,Q4 (Oct - Dec),Samsung,2936,0.19287872815661541
Andaman & Nicobar,2018,Q4 (Oct - Dec),Vivo,2742,0.1801340165549862
Andaman & Nicobar,2018,Q4 (Oct - Dec),Oppo,1268,0.08330048613848377
Andaman & Nicobar,2018,Q4 (Oct - Dec),Realme,760,0.04992773617133097
Andaman & Nicobar,2018,Q4 (Oct - Dec),OnePlus,721,0.0473656549730653
Andaman & Nicobar,2018,Q4 (Oct - Dec),Motorola,474,0.031139140717382736
Andaman & Nicobar,2018,Q4 (Oct - Dec),Apple,455,0.02989094731309946
Andaman & Nicobar,2018,Q4 (Oct - Dec),Huawei,398,0.02614636710024964
Andaman & Nicobar,2018,Q4 (Oct - Dec),Lenovo,377,0.024766784916568124
Andaman & Nicobar,2018,Q4 (Oct - Dec),Others,1372,0.09013270266719223
Andaman & Nicobar,2019,Q4 (Oct - Dec),Xiaomi,6259,0.24110169491525424
Andaman & Nicobar,2019,Q4 (Oct - Dec),Vivo,5190,0.19992295839753466
Andaman & Nicobar,2019,Q4 (Oct - Dec),Samsung,4900,0.18875192604006163
Andaman & Nicobar,2019,Q4 (Oct - Dec),Oppo,2329,0.08971494607087828
Andaman & Nicobar,2019,Q4 (Oct - Dec),Realme,1329,0.051194144838212635
Andaman & Nicobar,2019,Q4 (Oct - Dec),OnePlus,1124,0.04329738058551618
Andaman & Nicobar,2019,Q4 (Oct - Dec),Huawei,798,0.03073959938366718
Andaman & Nicobar,2019,Q4 (Oct - Dec),Motorola,682,0.026271186440677965
Andaman & Nicobar,2019,Q4 (Oct - Dec),Apple,678,0.026117103235747303
Andaman & Nicobar,2019,Q4 (Oct - Dec),Lenovo,488,0.018798151001540832
Andaman & Nicobar,2019,Q4 (Oct - Dec),Others,2183,0.08409090909090909
Andaman & Nicobar,2020,Q4 (Oct - Dec),Xiaomi,12398,0.23662111611573403
Andaman & Nicobar,2020,Q4 (Oct - Dec),Vivo,12275,0.23427360867241775
Andaman & Nicobar,2020,Q4 (Oct - Dec),Samsung,9938,0.18967096724940835
Andaman & Nicobar,2020,Q4 (Oct - Dec),Oppo,4723,0.0901404687380716
Andaman & Nicobar,2020,Q4 (Oct - Dec),Realme,2996,0.05717993739980151
Andaman & Nicobar,2020,Q4 (Oct - Dec),OnePlus,1638,0.031261928391480266
Andaman & Nicobar,2020,Q4 (Oct - Dec),Huawei,1472,0.028093747614321703
Andaman & Nicobar,2020,Q4 (Oct - Dec),Motorola,1032,0.019696160012214674
Andaman & Nicobar,2020,Q4 (Oct - Dec),Apple,973,0.018570119856477593
Andaman & Nicobar,2020,Q4 (Oct - Dec),Lenovo,708,0.01351248186884495
Andaman & Nicobar,2020,Q4 (Oct - Dec),Others,4243,0.08097946408122758
Andaman & Nicobar,2021,Q4 (Oct - Dec),Vivo,17597,0.24515185288381164
Andaman & Nicobar,2021,Q4 (Oct - Dec),Xiaomi,16968,0.2363889662858735
Andaman & Nicobar,2021,Q4 (Oct - Dec),Samsung,12574,0.17517414321538033
Andaman & Nicobar,2021,Q4 (Oct - Dec),Oppo,6127,0.08535803845082196
Andaman & Nicobar,2021,Q4 (Oct - Dec),Realme,5830,0.08122039565338535
Andaman & Nicobar,2021,Q4 (Oct - Dec),OnePlus,2691,0.03748955140707718
Andaman & Nicobar,2021,Q4 (Oct - Dec),Apple,1490,0.020757871273335192
Andaman & Nicobar,2021,Q4 (Oct - Dec),Huawei,1459,0.020325996099191977
Andaman & Nicobar,2021,Q4 (Oct - Dec),Tecno,1417,0.01974087489551407
Andaman & Nicobar,2021,Q4 (Oct - Dec),Motorola,1055,0.014697687378099749
Andaman & Nicobar,2021,Q4 (Oct - Dec),Others,4572,0.06369462245750905
Andhra Pradesh,2018,Q4 (Oct - Dec),Xiaomi,1753802,0.2557528652585838
Andhra Pradesh,2018,Q4 (Oct - Dec),Samsung,1388061,0.20241770616277957
Andhra Pradesh,2018,Q4 (Oct - Dec),Vivo,1011185,0.1474587559237024
Andhra Pradesh,2018,Q4 (Oct - Dec),Oppo,675093,0.09844724151643865
Andhra Pradesh,2018,Q4 (Oct - Dec),Realme,476746,0.06952275998121156
Andhra Pradesh,2018,Q4 (Oct - Dec),Motorola,250601,0.03654456078090136
Andhra Pradesh,2018,Q4 (Oct - Dec),OnePlus,210161,0.030647289668736397
Andhra Pradesh,2018,Q4 (Oct - Dec),Apple,209737,0.030585458735216172
Andhra Pradesh,2018,Q4 (Oct - Dec),Huawei,176237,0.025700231676424726
