State,Year,Quarter,District,RegisteredUser,AppOpens
Andaman & Nicobar,2018,Q1 (Jan - Mar),north and middle andaman district,632,0
Andaman & Nicobar,2018,Q1 (Jan - Mar),south andaman district,5846,0
Andaman & Nicobar,2018,Q1 (Jan - Mar),nicobars district,262,0
Andaman & Nicobar,2018,Q2 (Apr - Jun),north and middle andaman district,911,0
Andaman & Nicobar,2018,Q2 (Apr - Jun),south andaman district,8143,0
Andaman & Nicobar,2018,Q2 (Apr - Jun),nicobars district,351,0
Andaman & Nicobar,2018,Q3 (Jul - Sep),north and middle andaman district,1208,0
Andaman & Nicobar,2018,Q3 (Jul - Sep),south andaman district,10474,0
Andaman & Nicobar,2018,Q3 (Jul - Sep),nicobars district,467,0
Andaman & Nicobar,2018,Q4 (Oct - Dec),north and middle andaman district,1553,0
Andaman & Nicobar,2018,Q4 (Oct - Dec),south andaman district,13133,0
Andaman & Nicobar,2018,Q4 (Oct - Dec),nicobars district,536,0
Andaman & Nicobar,2019,Q1 (Jan - Mar),north and middle andaman district,2013,0
Andaman & Nicobar,2019,Q1 (Jan - Mar),south andaman district,15961,0
Andaman & Nicobar,2019,Q1 (Jan - Mar),nicobars district,622,0
Andaman & Nicobar,2019,Q2 (Apr - Jun),north and middle andaman district,2417,6118
Andaman & Nicobar,2019,Q2 (Apr - Jun),south andaman district,18621,43569
Andaman & Nicobar,2019,Q2 (Apr - Jun),nicobars district,693,2953
Andaman & Nicobar,2019,Q3 (Jul - Sep),north and middle andaman district,2662,22064
Andaman & Nicobar,2019,Q3 (Jul - Sep),south andaman district,20518,138190
Andaman & Nicobar,2019,Q3 (Jul - Sep),nicobars district,751,10853
Andaman & Nicobar,2019,Q4 (Oct - Dec),north and middle andaman district,2955,26253
Andaman & Nicobar,2019,Q4 (Oct - Dec),south andaman district,22202,139646
Andaman & Nicobar,2019,Q4 (Oct - Dec),nicobars district,803,11113
Andaman & Nicobar,2020,Q1 (Jan - Mar),north and middle andaman district,3315,30444
Andaman & Nicobar,2020,Q1 (Jan - Mar),south andaman district,24174,151529
Andaman & Nicobar,2020,Q1 (Jan - Mar),nicobars district,879,11613
Andaman & Nicobar,2020,Q2 (Apr - Jun),north and middle andaman district,4100,56992
Andaman & Nicobar,2020,Q2 (Apr - Jun),south andaman district,27626,231071
Andaman & Nicobar,2020,Q2 (Apr - Jun),nicobars district,984,17009
Andaman & Nicobar,2020,Q3 (Jul - Sep),north and middle andaman district,5355,76553
Andaman & Nicobar,2020,Q3 (Jul - Sep),south andaman district,34833,417785
Andaman & Nicobar,2020,Q3 (Jul - Sep),nicobars district,1147,21227
Andaman & Nicobar,2020,Q4 (Oct - Dec),north and middle andaman district,7076,125915
Andaman & Nicobar,2020,Q4 (Oct - Dec),south andaman district,43908,725321
Andaman & Nicobar,2020,Q4 (Oct - Dec),nicobars district,1412,35972
Andaman & Nicobar,2021,Q1 (Jan - Mar),north and middle andaman district,7833,121680
Andaman & Nicobar,2021,Q1 (Jan - Mar),south andaman district,48352,837589
Andaman & Nicobar,2021,Q1 (Jan - Mar),nicobars district,1573,45067
Andaman & Nicobar,2021,Q2 (Apr - Jun),north and middle andaman district,8493,596182
Andaman & Nicobar,2021,Q2 (Apr - Jun),south andaman district,51903,1270226
Andaman & Nicobar,2021,Q2 (Apr - Jun),nicobars district,1699,381815
Andaman & Nicobar,2021,Q3 (Jul - Sep),north and middle andaman district,9263,759314
Andaman & Nicobar,2021,Q3 (Jul - Sep),south andaman district,55873,1771107
Andaman & Nicobar,2021,Q3 (Jul - Sep),nicobars district,1846,591204
Andaman & Nicobar,2021,Q4 (Oct - Dec),north and middle andaman district,10002,171921
Andaman & Nicobar,2021,Q4 (Oct - Dec),south andaman district,59807,1863037
Andaman & Nicobar,2021,Q4 (Oct - Dec),nicobars district,1971,77952
Andaman & Nicobar,2022,Q1 (Jan - Mar),north and middle andaman district,10720,904869
Andaman & Nicobar,2022,Q1 (Jan - Mar),south andaman district,63487,2368756
Andaman & Nicobar,2022,Q1 (Jan - Mar),nicobars district,2081,573782
Andaman & Nicobar,2022,Q2 (Apr - Jun),north and middle andaman district,11379,963824
Andaman & Nicobar,2022,Q2 (Apr - Jun),south andaman district,66959,3404740
Andaman & Nicobar,2022,Q2 (Apr - Jun),nicobars district,2192,811449
Andaman & Nicobar,2022,Q3 (Jul - Sep),north and middle andaman district,11897,1176567
Andaman & Nicobar,2022,Q3 (Jul - Sep),south andaman district,70445,3607286
Andaman & Nicobar,2022,Q3 (Jul - Sep),nicobars district,2300,1284501
Andaman & Nicobar,2022,Q4 (Oct - Dec),north and middle andaman district,12361,313502
Andaman & Nicobar,2022,Q4 (Oct - Dec),south andaman district,73692,3881359
Andaman & Nicobar,2022,Q4 (Oct - Dec),nicobars district,2389,159232
Andaman & Nicobar,2023,Q1 (Jan - Mar),north and middle andaman district,12941,3103047
Andaman & Nicobar,2023,Q1 (Jan - Mar),south andaman district,77052,5450795
Andaman & Nicobar,2023,Q1 (Jan - Mar),nicobars district,2491,2458822
Andaman & Nicobar,2023,Q2 (Apr - Jun),north and middle andaman district,13600,3174229
Andaman & Nicobar,2023,Q2 (Apr - Jun),south andaman district,80112,6884657
Andaman & Nicobar,2023,Q2 (Apr - Jun),nicobars district,2617,4679790
Andaman & Nicobar,2023,Q3 (Jul - Sep),north and middle andaman district,14216,7130284
Andaman & Nicobar,2023,Q3 (Jul - Sep),south andaman district,83305,5950899
Andaman & Nicobar,2023,Q3 (Jul - Sep),nicobars district,2734,7463896
Andhra Pradesh,2018,Q1 (Jan - Mar),east godavari district,350356,0
Andhra Pradesh,2018,Q1 (Jan - Mar),srikakulam district,143839,0
Andhra Pradesh,2018,Q1 (Jan - Mar),visakhapatnam district,497187,0
Andhra Pradesh,2018,Q1 (Jan - Mar),prakasam district,189949,0
Andhra Pradesh,2018,Q1 (Jan - Mar),anantapur district,241192,0
Andhra Pradesh,2018,Q1 (Jan - Mar),kurnool district,240133,0
Andhra Pradesh,2018,Q1 (Jan - Mar),guntur district,317065,0
Andhra Pradesh,2018,Q1 (Jan - Mar),krishna district,323673,0
Andhra Pradesh,2018,Q1 (Jan - Mar),spsr nellore district,194475,0
